"_defaultColorIndex","aucs","id","idx_T","name"
"2","0.5933708586958554","8g4dlm73","0","core_algorithm-3_100_600_dipper_high_eval"
"2","0.6179848429510592","8g4dlm73","1","core_algorithm-3_100_600_dipper_high_eval"
"2","0.6436144083272461","8g4dlm73","2","core_algorithm-3_100_600_dipper_high_eval"
"2","0.6583089846603359","8g4dlm73","3","core_algorithm-3_100_600_dipper_high_eval"
"2","0.6739051419007875","8g4dlm73","4","core_algorithm-3_100_600_dipper_high_eval"
"2","0.68468835390224","8g4dlm73","5","core_algorithm-3_100_600_dipper_high_eval"
"2","0.6929969759741905","8g4dlm73","6","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7042891778850038","8g4dlm73","7","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7153714169255515","8g4dlm73","8","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7196267739155414","8g4dlm73","9","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7272235380547525","8g4dlm73","10","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7324481536634299","8g4dlm73","11","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7368477814510475","8g4dlm73","12","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7383463556969557","8g4dlm73","13","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7445540433851415","8g4dlm73","14","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7500846879955977","8g4dlm73","15","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7566522551394139","8g4dlm73","16","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7640635333187604","8g4dlm73","17","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7700759898717142","8g4dlm73","18","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7753434748671459","8g4dlm73","19","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7791695589800547","8g4dlm73","20","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7839817561196535","8g4dlm73","21","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7893561742235817","8g4dlm73","22","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7925332084314357","8g4dlm73","23","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7943151979309405","8g4dlm73","24","core_algorithm-3_100_600_dipper_high_eval"
"2","0.7971717734775883","8g4dlm73","25","core_algorithm-3_100_600_dipper_high_eval"
"2","0.8010061852788034","8g4dlm73","26","core_algorithm-3_100_600_dipper_high_eval"
