"_defaultColorIndex","id","idx_T","name","tpr_at"
"2","8g4dlm73","0","core_algorithm-3_100_600_dipper_high_eval","0"
"2","8g4dlm73","1","core_algorithm-3_100_600_dipper_high_eval","0"
"2","8g4dlm73","2","core_algorithm-3_100_600_dipper_high_eval","0"
"2","8g4dlm73","3","core_algorithm-3_100_600_dipper_high_eval","0"
"2","8g4dlm73","4","core_algorithm-3_100_600_dipper_high_eval","0.006765899864682003"
"2","8g4dlm73","5","core_algorithm-3_100_600_dipper_high_eval","0.002708192281651997"
"2","8g4dlm73","6","core_algorithm-3_100_600_dipper_high_eval","0.010832769126607989"
"2","8g4dlm73","7","core_algorithm-3_100_600_dipper_high_eval","0.0033875338753387536"
"2","8g4dlm73","8","core_algorithm-3_100_600_dipper_high_eval","0.017615176151761516"
"2","8g4dlm73","9","core_algorithm-3_100_600_dipper_high_eval","0.007457627118644068"
"2","8g4dlm73","10","core_algorithm-3_100_600_dipper_high_eval","0.021045485403937542"
"2","8g4dlm73","11","core_algorithm-3_100_600_dipper_high_eval","0.011541072640868975"
"2","8g4dlm73","12","core_algorithm-3_100_600_dipper_high_eval","0.004073319755600814"
"2","8g4dlm73","13","core_algorithm-3_100_600_dipper_high_eval","0.01697216564833673"
"2","8g4dlm73","14","core_algorithm-3_100_600_dipper_high_eval","0.012898845892735914"
"2","8g4dlm73","15","core_algorithm-3_100_600_dipper_high_eval","0.019687712152070606"
"2","8g4dlm73","16","core_algorithm-3_100_600_dipper_high_eval","0.029211956521739132"
"2","8g4dlm73","17","core_algorithm-3_100_600_dipper_high_eval","0.05098572399728076"
"2","8g4dlm73","18","core_algorithm-3_100_600_dipper_high_eval","0.03399048266485384"
"2","8g4dlm73","19","core_algorithm-3_100_600_dipper_high_eval","0.02379333786539769"
"2","8g4dlm73","20","core_algorithm-3_100_600_dipper_high_eval","0.03469387755102041"
"2","8g4dlm73","21","core_algorithm-3_100_600_dipper_high_eval","0.05653950953678474"
"2","8g4dlm73","22","core_algorithm-3_100_600_dipper_high_eval","0.03814713896457766"
"2","8g4dlm73","23","core_algorithm-3_100_600_dipper_high_eval","0.025903203817314247"
"2","8g4dlm73","24","core_algorithm-3_100_600_dipper_high_eval","0.043626448534423996"
"2","8g4dlm73","25","core_algorithm-3_100_600_dipper_high_eval","0.030013642564802184"
"2","8g4dlm73","26","core_algorithm-3_100_600_dipper_high_eval","0.042320819112627986"
"2","8g4dlm73","27","core_algorithm-3_100_600_dipper_high_eval","0.03415300546448088"
"2","8g4dlm73","28","core_algorithm-3_100_600_dipper_high_eval","0.04644808743169399"
"2","8g4dlm73","29","core_algorithm-3_100_600_dipper_high_eval","0.03417634996582365"
"2","8g4dlm73","30","core_algorithm-3_100_600_dipper_high_eval","0.048530416951469584"
"2","8g4dlm73","31","core_algorithm-3_100_600_dipper_high_eval","0.028727770177838577"
"2","8g4dlm73","32","core_algorithm-3_100_600_dipper_high_eval","0.04791238877481177"
"2","8g4dlm73","33","core_algorithm-3_100_600_dipper_high_eval","0.03424657534246575"
"2","8g4dlm73","34","core_algorithm-3_100_600_dipper_high_eval","0.05212620027434842"
"2","8g4dlm73","35","core_algorithm-3_100_600_dipper_high_eval","0.03635116598079561"
"2","8g4dlm73","36","core_algorithm-3_100_600_dipper_high_eval","0.05281207133058985"
"2","8g4dlm73","37","core_algorithm-3_100_600_dipper_high_eval","0.033012379642365884"
"2","8g4dlm73","38","core_algorithm-3_100_600_dipper_high_eval","0.049586776859504134"
"2","8g4dlm73","39","core_algorithm-3_100_600_dipper_high_eval","0.04068965517241379"
"2","8g4dlm73","40","core_algorithm-3_100_600_dipper_high_eval","0.027643400138217002"
"2","8g4dlm73","41","core_algorithm-3_100_600_dipper_high_eval","0.04085872576177285"
"2","8g4dlm73","42","core_algorithm-3_100_600_dipper_high_eval","0.05193905817174515"
"2","8g4dlm73","43","core_algorithm-3_100_600_dipper_high_eval","0.040887040887040885"
"2","8g4dlm73","44","core_algorithm-3_100_600_dipper_high_eval","0.052011095700416086"
"2","8g4dlm73","45","core_algorithm-3_100_600_dipper_high_eval","0.062456627342123525"
"2","8g4dlm73","46","core_algorithm-3_100_600_dipper_high_eval","0.07311977715877438"
"2","8g4dlm73","47","core_algorithm-3_100_600_dipper_high_eval","0.089198606271777"
"2","8g4dlm73","48","core_algorithm-3_100_600_dipper_high_eval","0.10808926080892609"
