"_defaultColorIndex","avg","id","idx_T","name"
"12","1.0214659250699556","l2nl3pg4","0","user_all_eval"
"12","1.0677262407082777","l2nl3pg4","1","user_all_eval"
"12","0.9487179334347065","l2nl3pg4","2","user_all_eval"
"12","1.154700517654419","l2nl3pg4","3","user_all_eval"
"12","1.251271481697376","l2nl3pg4","4","user_all_eval"
"12","1.70430876658513","l2nl3pg4","5","user_all_eval"
"12","1.8296730449566474","l2nl3pg4","6","user_all_eval"
"12","2.009837645750779","l2nl3pg4","7","user_all_eval"
"12","2.235381870315625","l2nl3pg4","8","user_all_eval"
"12","2.27515519123811","l2nl3pg4","9","user_all_eval"
"12","2.155884806926434","l2nl3pg4","10","user_all_eval"
"12","2.3076923260321984","l2nl3pg4","11","user_all_eval"
"12","2.3526521004163303","l2nl3pg4","12","user_all_eval"
"12","2.4925924722964945","l2nl3pg4","13","user_all_eval"
"12","2.488342372270731","l2nl3pg4","14","user_all_eval"
"12","2.5758704588963437","l2nl3pg4","15","user_all_eval"
"12","2.660532194834489","l2nl3pg4","16","user_all_eval"
"12","2.7844626811834483","l2nl3pg4","17","user_all_eval"
"12","2.944537199460543","l2nl3pg4","18","user_all_eval"
"12","3.0586636616633487","l2nl3pg4","19","user_all_eval"
"12","3.169086740567134","l2nl3pg4","20","user_all_eval"
"12","3.1625043062063365","l2nl3pg4","21","user_all_eval"
"12","3.1578136682510376","l2nl3pg4","22","user_all_eval"
"12","3.2273080899165225","l2nl3pg4","23","user_all_eval"
"12","3.1887500973848195","l2nl3pg4","24","user_all_eval"
"12","3.2574741015067468","l2nl3pg4","25","user_all_eval"
"12","3.256410231957069","l2nl3pg4","26","user_all_eval"
"12","3.390770196914673","l2nl3pg4","27","user_all_eval"
"12","3.521477231612572","l2nl3pg4","28","user_all_eval"
"12","3.551481164418734","l2nl3pg4","29","user_all_eval"
"12","3.6452839924738956","l2nl3pg4","30","user_all_eval"
"12","3.7056381977521458","l2nl3pg4","31","user_all_eval"
"12","3.7959507428682766","l2nl3pg4","32","user_all_eval"
"12","3.823493003845215","l2nl3pg4","33","user_all_eval"
"12","3.911107118313129","l2nl3pg4","34","user_all_eval"
"12","3.9674327556903544","l2nl3pg4","35","user_all_eval"
"12","4.052174458136926","l2nl3pg4","36","user_all_eval"
