"_defaultColorIndex","id","idx_T","name","stderr"
"14","hoacxsvt","0","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3061964923234117"
"14","hoacxsvt","1","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.21653468725620756"
"14","hoacxsvt","2","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2343486060772386"
"14","hoacxsvt","3","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.1723661352380389"
"14","hoacxsvt","4","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.17990893469823105"
"14","hoacxsvt","5","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.18337248893271585"
"14","hoacxsvt","6","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.19481050719460175"
"14","hoacxsvt","7","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.18165632726757702"
"14","hoacxsvt","8","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.21726178364045157"
"14","hoacxsvt","9","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2780101950424829"
"14","hoacxsvt","10","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2739838694631119"
"14","hoacxsvt","11","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.24737204032605378"
"14","hoacxsvt","12","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2526422342729696"
"14","hoacxsvt","13","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2671028843539533"
"14","hoacxsvt","14","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.27594725703513084"
"14","hoacxsvt","15","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.29136232195630607"
"14","hoacxsvt","16","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2858769217682731"
"14","hoacxsvt","17","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3031551354166823"
"14","hoacxsvt","18","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3068469401476393"
"14","hoacxsvt","19","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.34413455573105795"
"14","hoacxsvt","20","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3235204413708861"
"14","hoacxsvt","21","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3206518499613219"
"14","hoacxsvt","22","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3052242863744048"
"14","hoacxsvt","23","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.30910134004444506"
"14","hoacxsvt","24","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.27522688562557523"
"14","hoacxsvt","25","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2639755159120109"
"14","hoacxsvt","26","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2680852153195876"
"14","hoacxsvt","27","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2550672311584956"
"14","hoacxsvt","28","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.25751918466862955"
"14","hoacxsvt","29","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2509398896793605"
"14","hoacxsvt","30","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2532465340418907"
"14","hoacxsvt","31","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.23736569923924752"
"14","hoacxsvt","32","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.23630948701193713"
"14","hoacxsvt","33","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.24987761072565626"
"14","hoacxsvt","34","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.26543520484111804"
"14","hoacxsvt","35","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2732489559818544"
"14","hoacxsvt","36","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.2880464065532526"
"14","hoacxsvt","37","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.291808171617768"
"14","hoacxsvt","38","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.29715695749031656"
"14","hoacxsvt","39","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3062076961766417"
"14","hoacxsvt","40","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3019730757785207"
"14","hoacxsvt","41","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3073663057997897"
"14","hoacxsvt","42","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.29831129136604195"
"14","hoacxsvt","43","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3027147317823092"
"14","hoacxsvt","44","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.30498607423022456"
"14","hoacxsvt","45","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.30354911746746477"
"14","hoacxsvt","46","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.31119192049578864"
"14","hoacxsvt","47","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.31564092572125474"
"14","hoacxsvt","48","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.30649190564455064"
"14","hoacxsvt","49","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3229144742356912"
"14","hoacxsvt","50","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.32595018637940515"
"14","hoacxsvt","51","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.33397794523965096"
"14","hoacxsvt","52","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3271731246086482"
"14","hoacxsvt","53","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3270131434215129"
"14","hoacxsvt","54","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.3261196754422086"
"14","hoacxsvt","55","vicuna_lfqa_600_0-25_4-0_0-7_1-0_user_all_filtered_eval","0.33086758453791265"
