"_defaultColorIndex","aucs","id","idx_T","name"
"7","0.4932661818181818","5ez7q3ys","50","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.5066312727272728","5ez7q3ys","100","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.5172261818181818","5ez7q3ys","150","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.5250916363636363","5ez7q3ys","200","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.5542756363636363","5ez7q3ys","250","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.5819665454545454","5ez7q3ys","300","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6078516363636364","5ez7q3ys","350","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6298123636363637","5ez7q3ys","400","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6506792727272728","5ez7q3ys","450","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6645818181818182","5ez7q3ys","500","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6746094545454545","5ez7q3ys","550","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.683136","5ez7q3ys","600","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6871018181818181","5ez7q3ys","650","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6905600000000001","5ez7q3ys","700","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6900734545454545","5ez7q3ys","750","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6879483636363637","5ez7q3ys","800","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.679293818181818","5ez7q3ys","850","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6692967272727273","5ez7q3ys","900","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6599621818181818","5ez7q3ys","950","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","0.6466341818181818","5ez7q3ys","1000","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"8","0.5008123636363636","cdemf9mi","50","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.5233323636363636","cdemf9mi","100","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.5429527272727273","cdemf9mi","150","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.567256","cdemf9mi","200","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.605261090909091","cdemf9mi","250","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.6474363636363637","cdemf9mi","300","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.6833243636363637","cdemf9mi","350","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.7141083636363637","cdemf9mi","400","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.7424378181818181","cdemf9mi","450","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.7681192727272728","cdemf9mi","500","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.7934538181818183","cdemf9mi","550","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","0.8171585454545456","cdemf9mi","600","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
