"Name","f_200p25m25_w_wm_output_z_score_mean","f_200p25m25_w_wm_output_repetition_2_mean","_wandb"
"pile_uspto_opt-6-7b_gen_attacked_dipper_eval","9.93567673713278","0.29099851229863516",""
"core_algorithm-3_50_200_dipper_high_eval","10.057236083869284","0.11208159066884288",""
"pile_pubmed_opt-6-7b_gen_attacked_dipper_eval","10.012368824207703","0.2657118683378747",""
"pile_pubmed_opt-6-7b_gen_attacked_gpt_eval","10.012368824207703","0.2657118683378747",""
"pile_free_law_opt-6-7b_gen_attacked_dipper_eval","7.600257655469062","0.19827160201965544",""
"pile_uspto_llama-7b-base_gen_attacked_dipper_eval","7.951517813890161","0.2356882297964879",""
"core_simple_1_50_200_dipper_high_eval","9.193639906069787","0.10849507038773572",""
"pile_uspto_opt-6-7b_gen_attacked_gpt_eval","9.93567673713278","0.29099851229863516",""
"pile_pubmed_llama-7b-base_gen_attacked_gpt_eval","7.739720886326668","0.14975908023125245",""
"core_algorithm-3_50_200_gpt_p4_eval","10.057236083869284","0.11208159066884288",""
"pile_pubmed_llama-7b-base_gen_attacked_dipper_eval","7.739720886326668","0.14975908023125245",""
"pile_uspto_llama-7b-base_gen_attacked_gpt_eval","7.951517813890161","0.2356882297964879",""
"core_wikitext_llama-7b-base_gpt_p4_eval","9.793739213163164","0.1945127533932084",""
"pile_free_law_llama-7b-base_gen_attacked_dipper_eval","7.699818024227497","0.12212516024013303",""
"pile_free_law_opt-6-7b_gen_attacked_gpt_eval","7.600257655469062","0.19827160201965544",""
"core_simple_1_50_200_gpt_p4_eval","9.193639906069787","0.10849507038773572",""
"pile_github_opt-6-7b_gen_attacked_gpt_eval","4.022865868685571","0.2857217629971399",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.3917681254105805","0.11811201773237384",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.3917681254105805","0.11811201773237384",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.362766304397272","0.2121569553797318",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.362766304397272","0.2121569553797318",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.122158363214811","0.11152271883246452",""
"core_c4_llama-7b-base_gpt_p4_eval","9.14120850309969","0.16029416241544264",""
"pile_free_law_llama-7b-base_gen_attacked_gpt_eval","7.699818024227497","0.12212516024013303",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.122158363214811","0.11152271883246452",""
"pile_github_opt-6-7b_gen_attacked_dipper_eval","4.022865868685571","0.2857217629971399",""
"pile_github_llama-7b-base_gen_attacked_dipper_eval","4.7631465819024585","0.21451089571319357",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","3.2818430748128486","0.15546421274699476",""
"pile_github_llama-7b-base_gen_attacked_gpt_eval","4.7631465819024585","0.21451089571319357",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","3.2818430748128486","0.15546421274699476",""
