"_defaultColorIndex","id","idx_T","mean","name"
"15","ab7zh7ta","50","0.8089051385924","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","100","1.0661998187236","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","200","1.4310478978992","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","ab7zh7ta","800","3.1440009067128005","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"14","dtrrqo1e","50","0.8055412850824","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","100","1.0722532861608","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","200","1.444405788658","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","dtrrqo1e","1000","3.1487892492690004","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"13","miei424r","50","0.810478586041","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","100","1.0605042527701998","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","200","1.4373356846193999","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","miei424r","1000","3.1444297064772","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"0","yeewsgls","50","0.8098363614052104","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","100","1.0647395853550403","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","200","1.4104447735497396","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","yeewsgls","300","3.1307857202391998","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
