"_defaultColorIndex","avg","id","idx_T","name"
"13","0","sebf8zdh","0","core_simple_1_200_1000_dipper_high_eval"
"13","0.42325025523792614","sebf8zdh","1","core_simple_1_200_1000_dipper_high_eval"
"13","0.9153592716563832","sebf8zdh","2","core_simple_1_200_1000_dipper_high_eval"
"13","1.2975259840575195","sebf8zdh","3","core_simple_1_200_1000_dipper_high_eval"
"13","1.5718696002876915","sebf8zdh","4","core_simple_1_200_1000_dipper_high_eval"
"13","1.7923022090434333","sebf8zdh","5","core_simple_1_200_1000_dipper_high_eval"
"13","1.959281810332941","sebf8zdh","6","core_simple_1_200_1000_dipper_high_eval"
"13","2.0870914639690903","sebf8zdh","7","core_simple_1_200_1000_dipper_high_eval"
"13","2.203486432241387","sebf8zdh","8","core_simple_1_200_1000_dipper_high_eval"
"13","2.2900722000796723","sebf8zdh","9","core_simple_1_200_1000_dipper_high_eval"
"13","2.353694299336257","sebf8zdh","10","core_simple_1_200_1000_dipper_high_eval"
"13","2.4243289323352832","sebf8zdh","11","core_simple_1_200_1000_dipper_high_eval"
"13","2.4888318032676997","sebf8zdh","12","core_simple_1_200_1000_dipper_high_eval"
"13","2.5522222424351666","sebf8zdh","13","core_simple_1_200_1000_dipper_high_eval"
"13","2.6063927765406576","sebf8zdh","14","core_simple_1_200_1000_dipper_high_eval"
"13","2.6519702325662555","sebf8zdh","15","core_simple_1_200_1000_dipper_high_eval"
"13","2.6911439286993963","sebf8zdh","16","core_simple_1_200_1000_dipper_high_eval"
"13","2.7291794422327476","sebf8zdh","17","core_simple_1_200_1000_dipper_high_eval"
"13","2.7625711680500507","sebf8zdh","18","core_simple_1_200_1000_dipper_high_eval"
"13","2.799181933569717","sebf8zdh","19","core_simple_1_200_1000_dipper_high_eval"
"13","2.831617706462752","sebf8zdh","20","core_simple_1_200_1000_dipper_high_eval"
"13","2.8673800590345655","sebf8zdh","21","core_simple_1_200_1000_dipper_high_eval"
"13","2.898441333538064","sebf8zdh","22","core_simple_1_200_1000_dipper_high_eval"
"13","2.931565663731133","sebf8zdh","23","core_simple_1_200_1000_dipper_high_eval"
"13","2.9648931440343653","sebf8zdh","24","core_simple_1_200_1000_dipper_high_eval"
"13","2.9919055566398183","sebf8zdh","25","core_simple_1_200_1000_dipper_high_eval"
"13","3.0193274531548777","sebf8zdh","26","core_simple_1_200_1000_dipper_high_eval"
"13","3.046921947852788","sebf8zdh","27","core_simple_1_200_1000_dipper_high_eval"
"13","3.066067054704712","sebf8zdh","28","core_simple_1_200_1000_dipper_high_eval"
"13","3.083575125074491","sebf8zdh","29","core_simple_1_200_1000_dipper_high_eval"
"13","3.1041362238660684","sebf8zdh","30","core_simple_1_200_1000_dipper_high_eval"
"13","3.1239447362400337","sebf8zdh","31","core_simple_1_200_1000_dipper_high_eval"
"13","3.145577855044086","sebf8zdh","32","core_simple_1_200_1000_dipper_high_eval"
"13","3.16592590605404","sebf8zdh","33","core_simple_1_200_1000_dipper_high_eval"
"13","3.185429247342088","sebf8zdh","34","core_simple_1_200_1000_dipper_high_eval"
"13","3.2048124731413035","sebf8zdh","35","core_simple_1_200_1000_dipper_high_eval"
"13","3.2205389814655274","sebf8zdh","36","core_simple_1_200_1000_dipper_high_eval"
"13","3.234559519186507","sebf8zdh","37","core_simple_1_200_1000_dipper_high_eval"
"13","3.2535506038442854","sebf8zdh","38","core_simple_1_200_1000_dipper_high_eval"
"13","3.268467279379828","sebf8zdh","39","core_simple_1_200_1000_dipper_high_eval"
"13","3.284226456958182","sebf8zdh","40","core_simple_1_200_1000_dipper_high_eval"
"13","3.3016561994434013","sebf8zdh","41","core_simple_1_200_1000_dipper_high_eval"
"13","3.3180933650950926","sebf8zdh","42","core_simple_1_200_1000_dipper_high_eval"
"13","3.3348719212114157","sebf8zdh","43","core_simple_1_200_1000_dipper_high_eval"
"13","3.3495075050373537","sebf8zdh","44","core_simple_1_200_1000_dipper_high_eval"
"13","3.363175191230467","sebf8zdh","45","core_simple_1_200_1000_dipper_high_eval"
"13","3.3750160359603782","sebf8zdh","46","core_simple_1_200_1000_dipper_high_eval"
"13","3.386358138149292","sebf8zdh","47","core_simple_1_200_1000_dipper_high_eval"
"13","3.3976547862808464","sebf8zdh","48","core_simple_1_200_1000_dipper_high_eval"
"13","3.409468800047655","sebf8zdh","49","core_simple_1_200_1000_dipper_high_eval"
"13","3.420008566615346","sebf8zdh","50","core_simple_1_200_1000_dipper_high_eval"
"13","3.4315178342791266","sebf8zdh","51","core_simple_1_200_1000_dipper_high_eval"
"13","3.4458650045779162","sebf8zdh","52","core_simple_1_200_1000_dipper_high_eval"
"13","3.460176845974237","sebf8zdh","53","core_simple_1_200_1000_dipper_high_eval"
"13","3.4717237306130597","sebf8zdh","54","core_simple_1_200_1000_dipper_high_eval"
"13","3.4853370894085276","sebf8zdh","55","core_simple_1_200_1000_dipper_high_eval"
"13","3.499464893271147","sebf8zdh","56","core_simple_1_200_1000_dipper_high_eval"
"13","3.513924734333743","sebf8zdh","57","core_simple_1_200_1000_dipper_high_eval"
"13","3.5270322823454556","sebf8zdh","58","core_simple_1_200_1000_dipper_high_eval"
"13","3.5418670849159897","sebf8zdh","59","core_simple_1_200_1000_dipper_high_eval"
"13","3.5558028544973523","sebf8zdh","60","core_simple_1_200_1000_dipper_high_eval"
"13","3.568136677868041","sebf8zdh","61","core_simple_1_200_1000_dipper_high_eval"
"13","3.5810481572466273","sebf8zdh","62","core_simple_1_200_1000_dipper_high_eval"
