"_defaultColorIndex","id","idx_T","mean","name"
"7","5ez7q3ys","50","0.06381883053222856","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","100","0.11026960156126585","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","150","0.1480335924326687","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","200","0.18107645834543362","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","250","0.20742740045811248","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","300","0.22870360718370913","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","350","0.24778398959894152","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","400","0.2633863443554908","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","450","0.2774602323943611","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","500","0.2889946583361669","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","550","0.29808571268088874","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","600","0.30614788222218825","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","650","0.31285017216704053","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","700","0.31837331973653216","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","750","0.32302011712896694","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","800","0.32698595808053954","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","850","0.33038624877570955","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","900","0.3332918534792762","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","950","0.3355483972873254","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"7","5ez7q3ys","1000","0.33695043576242184","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp"
"8","cdemf9mi","50","0.06377015908087619","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","100","0.11010772481799143","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","150","0.14791681799256828","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","200","0.18097712050409873","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","250","0.20736003216854404","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","300","0.2286415818978612","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","350","0.24775878308461027","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","400","0.2635449140199304","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","450","0.27747392183306474","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","500","0.2891687242534055","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","550","0.29836673844070677","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","600","0.30635521392830256","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","650","0.31315652451394455","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","700","0.31871315727909594","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","750","0.32345388184837387","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
"8","cdemf9mi","800","0.3272313314973356","core_simple_1_200_1000_gen_cp_attack_1-25%_prefixes_eval_supp"
